time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/loss,train/learning_rate,train/clip_range,train/clip_fraction,train/approx_kl,train/n_updates,train/entropy_loss
17,157,221,34816,-1.1920928955078125e-07,-0.004917974380077794,57.42265576124191,8.980109214782715,0.0003,0.2,0.122412109375,0.010581067,160,-3.4451753966510297
18,166,221,36864,0.0,-0.0020710804470581933,43.17006494700909,5.128535270690918,0.0003,0.2,0.0921875,0.012053377,170,-3.4394080847501756
19,175,221,38912,0.0,-0.004206751805031672,31.090129819512367,2.4119012355804443,0.0003,0.2,0.14091796875,0.011713992,180,-3.4366621993482114
20,184,221,40960,-1.1920928955078125e-07,-0.0008048292307648808,21.18447930626571,0.7353898286819458,0.0003,0.2,0.07783203125,0.008583399,190,-3.3892718300223352
21,193,222,43008,1.1920928955078125e-07,-0.0039752793032675985,13.451631452899893,0.06884289532899857,0.0003,0.2,0.153369140625,0.014717918,200,-3.4017831437289714
22,202,222,45056,0.0,-0.0016621779825072736,7.891313248916776,0.12959128618240356,0.0003,0.2,0.205908203125,0.010266848,210,-3.379980070143938
23,210,223,47104,-2.384185791015625e-07,-0.003932319965679198,4.962072612438476,0.01129211112856865,0.0003,0.2,0.09814453125,0.011807254,220,-3.3815870650112627
24,219,224,49152,0.0,-0.001242306991480291,2.8426683467069664,0.015803255140781403,0.0003,0.2,0.05166015625,0.008330749,230,-3.394935114681721
25,227,225,51200,0.0,-0.002055882493732497,1.6190235379289448,-0.024847444146871567,0.0003,0.2,0.08251953125,0.010051912,240,-3.3748154073953627
26,235,226,53248,-1.1920928955078125e-07,-0.004698979563545436,0.9235701114899257,-0.008745461702346802,0.0003,0.2,0.1271484375,0.013166383,250,-3.354868759959936
27,243,226,55296,1.1920928955078125e-07,-0.005286751783569343,0.5321411481672158,-0.021206103265285492,0.0003,0.2,0.114013671875,0.011522553,260,-3.3769006609916685
28,252,227,57344,1.7881393432617188e-07,-0.00022718516120221466,0.3123354865423494,0.013260061852633953,0.0003,0.2,0.028759765625,0.006400525,270,-3.3914747066795825
29,260,227,59392,1.1920928955078125e-07,-0.0034343362727668135,0.17607522286842822,0.011381644755601883,0.0003,0.2,0.097998046875,0.011885014,280,-3.3656586460769176
30,268,228,61440,0.0,-0.002455096726771444,0.10190490852266976,0.01943371631205082,0.0003,0.2,0.061279296875,0.005816564,290,-3.339779292047024
31,277,229,63488,0.0,-0.005344754992984235,0.05968793936033308,0.022599875926971436,0.0003,0.2,0.12861328125,0.015952995,300,-3.2981991693377495
32,285,229,65536,0.0,-0.00818809085758403,0.03506852727377918,-0.02694110944867134,0.0003,0.2,0.21103515625,0.013090212,310,-3.228314731270075
33,293,230,67584,5.960464477539063e-08,-0.0025871514284517617,0.021411457343822347,0.02198590338230133,0.0003,0.2,0.08232421875,0.01251496,320,-3.1771959267556666
34,301,230,69632,1.1920928955078125e-07,-0.004161779279820621,0.012688281341263518,-0.027645109221339226,0.0003,0.2,0.109619140625,0.01157023,330,-3.1363968096673487
35,310,231,71680,3.5762786865234375e-07,-0.00036947329645045104,0.007811008170574496,-0.015205904841423035,0.0003,0.2,0.108203125,0.011273529,340,-3.1074491456151008
36,318,231,73728,1.7881393432617188e-07,-0.0031532983935903757,0.004889481345571767,0.03444688022136688,0.0003,0.2,0.102685546875,0.011661689,350,-3.106312396377325
37,326,232,75776,2.6226043701171875e-06,-0.0039414413506165145,0.003081205267972109,-0.0033177935983985662,0.0003,0.2,0.11953125,0.011789065,360,-2.9947790898382665
38,334,232,77824,1.1920928955078125e-07,-0.004413935722550377,0.001965133293595045,-0.010964449495077133,0.0003,0.2,0.094677734375,0.010362926,370,-3.002132398635149
39,342,232,79872,2.384185791015625e-06,-0.004181203537154943,0.0012751570522596012,-0.025866955518722534,0.0003,0.2,0.13720703125,0.017639231,380,-2.9129505485296248
40,351,233,81920,1.7881393432617188e-07,-0.002785672209574841,0.0008649525425084903,-0.020465614274144173,0.0003,0.2,0.1134765625,0.013870165,390,-2.8250944666564464
41,360,233,83968,-1.1920928955078125e-07,-0.004172245902009308,0.0005995036118520147,-0.0032311442773789167,0.0003,0.2,0.148486328125,0.012818998,400,-2.753846203535795
42,368,233,86016,1.6689300537109375e-06,-0.002034060761798173,0.00040215326129100504,-0.01327000092715025,0.0003,0.2,0.157080078125,0.01169654,410,-2.5970837213099003
43,376,233,88064,2.5331974029541016e-05,-0.00398115897551179,0.00029488906322967524,0.008116110228002071,0.0003,0.2,0.128662109375,0.012314188,420,-2.546244981884956
44,384,234,90112,5.662441253662109e-06,-0.003577904513804242,0.00017630289650014675,0.0032948532607406378,0.0003,0.2,0.172119140625,0.012148383,430,-2.4092184260487555
45,393,234,92160,8.881092071533203e-06,-0.0013359140255488455,0.00011386334414282828,-0.007810057140886784,0.0003,0.2,0.115087890625,0.01831073,440,-2.256859064102173
46,401,234,94208,1.3709068298339844e-06,-0.004932804696727544,8.121596489445438e-05,-0.02288380078971386,0.0003,0.2,0.131982421875,0.017622655,450,-2.129855800420046
47,409,234,96256,2.7418136596679688e-05,-0.007100974666536785,5.3429901026902374e-05,-0.03175422176718712,0.0003,0.2,0.165185546875,0.021441724,460,-2.1026493184268475
48,418,234,98304,1.9848346710205078e-05,-0.002019722101977095,3.8171254504959504e-05,0.004152058158069849,0.0003,0.2,0.048193359375,0.008219488,470,-2.0685865588486196
49,426,235,100352,7.426738739013672e-05,-0.003877344791544601,3.4736441955374174e-05,-0.016698451712727547,0.0003,0.2,0.186865234375,0.016533773,480,-1.9037242952734232
